,Airport,Prox_Airports
208,19295.11*A,"['00987.*A', '01132.*A', '01165.*A', '01176.*A', '02765.*A', '06089.*A', '05903.*A', '06811.*A', '06721.*A', '06948.51*A', '07425.*A', '07589.*A', '07796.*A', '11816.6*A', '11884.*A', '12151.01*A', '12160.1*A', '12748.*A', '12794.*A', '12817.*A', '14532.*A', '14733.4*A', '18771.*A', '18855.*A', '18876.11*A', '18978.32*A', '18989.*A', '19080.*A', '19143.*A', '19166.*A', '19199.2*A', '19253.1*A', '19307.2*A', '19283.*A', '19122.*A', '19289.2*A', '19136.*A', '23097.*A', '23307.*A', '23522.2*A', '24072.1*A', '23713.*A', '23895.11*A', '23965.1*A', '23454.*A', '24149.11*A', '24135.*A', '24194.*A', '23710.38*A', '24163.*A', '24067.61*A', '24889.*A', '24976.*A']"
209,19136.*A,"['00987.*A', '01132.*A', '01165.*A', '01176.*A', '02573.*A', '02765.*A', '05839.5*A', '06147.1*A', '06089.*A', '05903.*A', '06811.*A', '06721.*A', '06948.51*A', '07589.*A', '07796.*A', '11816.6*A', '11884.*A', '12077.*A', '12151.01*A', '12160.1*A', '11270.*A', '12693.*A', '12748.*A', '12794.*A', '12817.*A', '14733.4*A', '18771.*A', '18855.*A', '18876.11*A', '18978.32*A', '18989.*A', '19080.*A', '19143.*A', '19166.*A', '19199.2*A', '19253.1*A', '19307.2*A', '19283.*A', '19122.*A', '19289.2*A', '19295.11*A', '23097.*A', '23307.*A', '23522.2*A', '24072.1*A', '23713.*A', '23895.11*A', '23965.1*A', '23454.*A', '24149.11*A', '24135.*A', '23710.38*A', '24163.*A', '24067.61*A', '24889.*A', '24976.*A']"
210,19345.*A,"['01346.*A', '01437.*A', '01651.*A', '01971.*A', '01560.*A', '02389.1*A', '02160.1*A', '02383.*A', '02461.*A', '04206.*A', '04224.1*A', '12417.*A', '13048.*A', '13072.*A', '13079.25*A', '19352.1*A', '19403.*A', '19411.1*A', '19595.*A', '19571.5*A', '19572.*A', '19514.*A', '19589.*A', '26144.*A', '26159.*A', '26417.*A', '26444.*A', '26369.*A', '26372.*A', '26381.*A', '26386.1*A', '26395.*A', '26125.1*A']"
211,19352.1*A,"['01346.*A', '01437.*A', '01400.5*A', '01497.*A', '01590.*A', '01641.*A', '01651.*A', '01853.*A', '01971.*A', '01560.*A', '02204.*A', '02389.1*A', '02160.1*A', '02211.*A', '02383.*A', '02413.*A', '02461.*A', '04206.*A', '04224.1*A', '13048.*A', '13072.*A', '13079.25*A', '19345.*A', '19403.*A', '19411.1*A', '19595.*A', '19571.5*A', '19572.*A', '19514.*A', '19589.*A', '26144.*A', '26159.*A', '26417.*A', '26444.*A', '26369.*A', '26372.*A', '26381.*A', '26386.1*A', '26395.*A', '26125.1*A']"
212,19403.*A,"['01346.*A', '01437.*A', '01400.5*A', '01497.*A', '01590.*A', '01641.*A', '01651.*A', '01853.*A', '01971.*A', '01560.*A', '02204.*A', '02389.1*A', '02160.1*A', '02383.*A', '02413.*A', '02461.*A', '04206.*A', '04224.1*A', '13048.*A', '13072.*A', '13079.25*A', '19345.*A', '19352.1*A', '19411.1*A', '19595.*A', '19571.5*A', '19572.*A', '19514.*A', '19589.*A', '26144.*A', '26159.*A', '26417.*A', '26444.*A', '26369.*A', '26372.*A', '26381.*A', '26386.1*A', '26395.*A', '26125.1*A']"
213,19411.1*A,"['01346.*A', '01437.*A', '01400.5*A', '01651.*A', '01853.*A', '01971.*A', '01560.*A', '02204.*A', '02389.1*A', '02160.1*A', '02383.*A', '02461.*A', '04206.*A', '04224.1*A', '13048.*A', '13072.*A', '13079.25*A', '19345.*A', '19352.1*A', '19403.*A', '19595.*A', '19571.5*A', '19572.*A', '19514.*A', '19589.*A', '26144.*A', '26159.*A', '26417.*A', '26444.*A', '26369.*A', '26372.*A', '26381.*A', '26386.1*A', '26395.*A', '26125.1*A']"
214,19595.*A,"['01346.*A', '01437.*A', '01971.*A', '01560.*A', '02389.1*A', '02383.*A', '02461.*A', '04206.*A', '04224.1*A', '12417.*A', '13048.*A', '13072.*A', '13079.25*A', '19345.*A', '19352.1*A', '19403.*A', '19411.1*A', '19571.5*A', '19572.*A', '19514.*A', '19589.*A', '26144.*A', '26159.*A', '26417.*A', '26444.*A', '26369.*A', '26372.*A', '26381.*A', '26386.1*A', '26395.*A', '26125.1*A']"
215,19571.5*A,"['01560.*A', '02389.1*A', '02383.*A', '02461.*A', '04206.*A', '04224.1*A', '12417.*A', '13048.*A', '13079.25*A', '19345.*A', '19352.1*A', '19403.*A', '19411.1*A', '19595.*A', '19572.*A', '19514.*A', '19589.*A', '26144.*A', '26159.*A', '26417.*A', '26444.*A', '26369.*A', '26372.*A', '26381.*A', '26386.1*A', '26395.*A', '26125.1*A']"
216,19572.*A,"['01560.*A', '02389.1*A', '02383.*A', '02461.*A', '04206.*A', '04224.1*A', '12417.*A', '13048.*A', '13079.25*A', '19345.*A', '19352.1*A', '19403.*A', '19411.1*A', '19595.*A', '19571.5*A', '19514.*A', '19589.*A', '26144.*A', '26159.*A', '26417.*A', '26444.*A', '26369.*A', '26372.*A', '26381.*A', '26386.1*A', '26395.*A', '26125.1*A']"
217,19514.*A,"['01346.*A', '01437.*A', '01400.5*A', '01497.*A', '01590.*A', '01641.*A', '01651.*A', '01853.*A', '01971.*A', '01560.*A', '02204.*A', '02389.1*A', '02160.1*A', '02383.*A', '02413.*A', '02461.*A', '04206.*A', '04224.1*A', '13048.*A', '13072.*A', '13079.25*A', '19345.*A', '19352.1*A', '19403.*A', '19411.1*A', '19595.*A', '19571.5*A', '19572.*A', '19589.*A', '26144.*A', '26159.*A', '26417.*A', '26444.*A', '26369.*A', '26372.*A', '26381.*A', '26386.1*A', '26395.*A', '26125.1*A']"
218,19589.*A,"['01346.*A', '01437.*A', '01400.5*A', '01590.*A', '01651.*A', '01853.*A', '01971.*A', '01560.*A', '02204.*A', '02389.1*A', '02160.1*A', '02383.*A', '02461.*A', '04206.*A', '04224.1*A', '13048.*A', '13072.*A', '13079.25*A', '19345.*A', '19352.1*A', '19403.*A', '19411.1*A', '19595.*A', '19571.5*A', '19572.*A', '19514.*A', '26144.*A', '26159.*A', '26417.*A', '26444.*A', '26369.*A', '26372.*A', '26381.*A', '26386.1*A', '26395.*A', '26125.1*A']"
219,20069.11*A,"['02802.*A', '02827.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04767.*A', '04503.*A', '05388.11*A', '05375.*A', '05281.*A', '05738.*A', '07055.*A', '08995.*A', '08750.*A', '09011.*A', '09112.*A', '09180.*A', '08525.*A', '08559.*A', '08551.*A', '07840.*A', '07849.*A', '09524.*A', '10228.*A', '09725.*A', '09657.*A', '09834.*A', '09847.*A', '10092.*A', '09977.*A', '10034.*A', '10382.2*A', '09614.*A', '17205.1*A', '16650.*A', '16761.*A', '17220.*A', '13218.*A', '13890.*A', '14052.*A', '15100.01*A', '15783.*A', '16269.*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '20480.2*A', '20503.*A', '20126.*A', '19673.*A', '21252.*A', '21979.1*A', '22024.*A', '22309.*A', '25863.*A', '25977.*A', '25986.*A', '25348.*A', '25496.1*A', '27168.1*A', '27682.*A', '26627.*A', '26768.*A']"
220,20480.2*A,"['02802.*A', '02827.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04503.*A', '05388.11*A', '05375.*A', '05281.*A', '05738.*A', '07055.*A', '08750.*A', '09011.*A', '09112.*A', '09180.*A', '08525.*A', '08559.*A', '08551.*A', '09524.*A', '10228.*A', '09725.*A', '09657.*A', '09834.*A', '09847.*A', '10092.*A', '09977.*A', '10034.*A', '10382.2*A', '09614.*A', '17205.1*A', '16650.*A', '16761.*A', '17220.*A', '13218.*A', '13890.*A', '14052.*A', '15100.01*A', '15783.*A', '16269.*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '20069.11*A', '20503.*A', '20126.*A', '19673.*A', '21252.*A', '21979.1*A', '22024.*A', '22309.*A', '22210.*A', '23055.*A', '23121.*A', '22905.*A', '25863.*A', '25977.*A', '25986.*A', '25348.*A', '25496.1*A', '27346.*A', '27168.1*A', '27682.*A', '26627.*A', '26768.*A']"
221,20503.*A,"['02802.*A', '02827.*A', '05388.11*A', '05281.*A', '05738.*A', '08995.*A', '08750.*A', '09011.*A', '09112.*A', '09180.*A', '08525.*A', '08559.*A', '08551.*A', '07819.*A', '07840.*A', '07849.*A', '08050.*A', '09524.*A', '10228.*A', '09725.*A', '09657.*A', '10092.*A', '09977.*A', '10382.2*A', '17205.1*A', '16650.*A', '16761.*A', '17220.*A', '13218.*A', '13890.*A', '14052.*A', '15100.01*A', '15783.*A', '16269.*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '20069.11*A', '20480.2*A', '20126.*A', '19673.*A', '21252.*A', '21979.1*A', '22024.*A', '22209.*A', '22309.*A', '22210.*A', '25863.*A', '25977.*A', '25986.*A', '25348.*A', '25496.1*A', '26627.*A', '26768.*A']"
222,20126.*A,"['02802.*A', '02827.*A', '03642.*A', '03641.*A', '03643.*A', '03805.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04650.1*A', '04767.*A', '04503.*A', '05388.11*A', '05375.*A', '05281.*A', '05738.*A', '07055.*A', '08750.*A', '09011.*A', '09112.*A', '09180.*A', '08525.*A', '08559.*A', '08551.*A', '09524.*A', '10228.*A', '09725.*A', '09657.*A', '09834.*A', '09847.*A', '10092.*A', '09977.*A', '10034.*A', '10382.2*A', '09614.*A', '17205.1*A', '16650.*A', '16761.*A', '17220.*A', '13218.*A', '13890.*A', '14052.*A', '15100.01*A', '15783.*A', '16269.*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '20069.11*A', '20480.2*A', '20503.*A', '19673.*A', '21252.*A', '21979.1*A', '22024.*A', '22209.*A', '22309.*A', '22210.*A', '23055.*A', '22899.*A', '23121.*A', '22905.*A', '25863.*A', '25977.*A', '25986.*A', '25348.*A', '25496.1*A', '27168.1*A', '27682.*A', '26627.*A', '26768.*A']"
223,19673.*A,"['02802.*A', '02827.*A', '08995.*A', '08750.*A', '09011.*A', '09112.*A', '09180.*A', '08525.*A', '08559.*A', '08551.*A', '07819.*A', '07840.*A', '07849.*A', '08050.*A', '09524.*A', '10228.*A', '09725.*A', '10092.*A', '09977.*A', '10382.2*A', '17205.1*A', '16650.*A', '16761.*A', '17220.*A', '13218.*A', '13890.*A', '14052.*A', '15100.01*A', '15783.*A', '16269.*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '20069.11*A', '20480.2*A', '20503.*A', '20126.*A', '21252.*A', '21979.1*A', '22024.*A', '25863.*A', '25977.*A', '25986.*A', '25348.*A', '25496.1*A', '26627.*A', '26768.*A']"
224,21252.*A,"['02802.*A', '02827.*A', '03805.*A', '04427.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04503.*A', '05388.11*A', '05375.*A', '05281.*A', '05738.*A', '07055.*A', '08750.*A', '09011.*A', '09112.*A', '09180.*A', '08525.*A', '08559.*A', '08551.*A', '09524.*A', '10228.*A', '09725.*A', '09657.*A', '09834.*A', '09847.*A', '10092.*A', '09977.*A', '10034.*A', '10382.2*A', '09614.*A', '17205.1*A', '16650.*A', '16761.*A', '17220.*A', '13218.*A', '13890.*A', '14052.*A', '15100.01*A', '15783.*A', '16269.*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '20069.11*A', '20480.2*A', '20503.*A', '20126.*A', '19673.*A', '21979.1*A', '22024.*A', '22209.*A', '22309.*A', '22210.*A', '23055.*A', '22899.*A', '23121.*A', '22905.*A', '25863.*A', '25977.*A', '25986.*A', '25348.*A', '25496.1*A', '27168.1*A', '27682.*A', '26627.*A', '26768.*A']"
225,21979.1*A,"['02802.*A', '02827.*A', '08995.*A', '08750.*A', '09011.*A', '09112.*A', '09180.*A', '08525.*A', '08559.*A', '08551.*A', '07819.*A', '07840.*A', '07849.*A', '08050.*A', '16650.*A', '13218.*A', '13890.*A', '14052.*A', '15100.01*A', '15783.*A', '16269.*A', '18753.*A', '20069.11*A', '20480.2*A', '20503.*A', '20126.*A', '19673.*A', '21252.*A', '22024.*A', '25977.*A', '25348.*A', '25496.1*A', '26627.*A', '26768.*A']"
226,22024.*A,"['02802.*A', '02827.*A', '08995.*A', '08750.*A', '09011.*A', '09112.*A', '09180.*A', '08525.*A', '08559.*A', '08551.*A', '07819.*A', '07840.*A', '07849.*A', '08050.*A', '16650.*A', '13218.*A', '13890.*A', '14052.*A', '15100.01*A', '15783.*A', '16269.*A', '18753.*A', '20069.11*A', '20480.2*A', '20503.*A', '20126.*A', '19673.*A', '21252.*A', '21979.1*A', '25977.*A', '25348.*A', '25496.1*A', '26627.*A', '26768.*A']"
227,22209.*A,"['00128.*A', '00146.*A', '00164.*A', '00438.*A', '00498.*A', '03474.*A', '03531.*A', '03112.*A', '03135.*A', '03408.*A', '03423.3*A', '03251.*A', '03250.1*A', '03484.*A', '03642.*A', '03728.*A', '03641.*A', '03643.*A', '03760.*A', '03639.*A', '03805.*A', '03992.*A', '05388.11*A', '05375.*A', '07055.*A', '08525.*A', '08559.*A', '08551.*A', '11444.*A', '11270.*A', '17205.1*A', '16650.*A', '16761.*A', '17220.*A', '17668.2*A', '17695.*A', '18603.*A', '18157.*A', '20503.*A', '20126.*A', '21252.*A', '22309.*A', '22210.*A', '23055.*A', '22899.*A', '23121.*A', '22905.*A', '25863.*A', '25977.*A', '25986.*A', '26627.*A', '26768.*A']"
228,22309.*A,"['00128.*A', '00146.*A', '00164.*A', '00438.*A', '00498.*A', '01132.*A', '03474.*A', '03531.*A', '03112.*A', '03135.*A', '03408.*A', '03423.3*A', '03251.*A', '03250.1*A', '03642.*A', '03728.*A', '03641.*A', '03643.*A', '03760.*A', '03639.*A', '03805.*A', '03992.*A', '04427.*A', '04650.1*A', '05388.11*A', '05375.*A', '05281.*A', '05738.*A', '07055.*A', '08525.*A', '08559.*A', '08551.*A', '11444.*A', '11270.*A', '17205.1*A', '16650.*A', '16761.*A', '17220.*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '20069.11*A', '20480.2*A', '20503.*A', '20126.*A', '21252.*A', '22209.*A', '22210.*A', '23055.*A', '22899.*A', '23097.*A', '23121.*A', '22905.*A', '25863.*A', '25977.*A', '25986.*A', '26627.*A', '26768.*A']"
229,22210.*A,"['00128.*A', '00146.*A', '00164.*A', '00438.*A', '00498.*A', '03474.*A', '03531.*A', '03112.*A', '03135.*A', '03408.*A', '03423.3*A', '03251.*A', '03250.1*A', '03484.*A', '03642.*A', '03728.*A', '03641.*A', '03643.*A', '03760.*A', '03639.*A', '03805.*A', '03992.*A', '05388.11*A', '05375.*A', '07055.*A', '08525.*A', '08559.*A', '08551.*A', '11444.*A', '11270.*A', '17205.1*A', '16650.*A', '16761.*A', '17220.*A', '17668.2*A', '17695.*A', '18603.*A', '18157.*A', '20480.2*A', '20503.*A', '20126.*A', '21252.*A', '22209.*A', '22309.*A', '23055.*A', '22899.*A', '23121.*A', '22905.*A', '25863.*A', '25977.*A', '25986.*A', '26627.*A', '26768.*A']"
230,22603.*A,"['02573.*A', '02765.*A', '05829.*A', '05839.5*A', '06022.11*A', '06039.1*A', '06057.1*A', '06070.*A', '06147.1*A', '06089.*A', '05903.*A', '06811.*A', '06721.*A', '06948.51*A', '10509.*A', '10605.*A', '10512.*A', '10653.*A', '10665.*A', '10736.*A', '10746.2*A', '10824.*A', '10615.2*A', '10885.*A', '10899.*A', '10938.*A', '11098.*A', '11098.2*A', '11816.6*A', '11884.*A', '12160.1*A', '17285.*A', '17337.2*A', '12693.*A', '12748.*A', '12794.*A', '12960.*A', '12817.*A', '22675.1*A', '22817.*A', '27346.*A', '27166.*A', '27465.*A', '27356.*A', '27373.*A', '27505.*A', '27518.*A', '27667.*A', '27759.*A']"
231,22675.1*A,"['02573.*A', '02596.131*A', '02623.*A', '02765.*A', '05829.*A', '05839.5*A', '06022.11*A', '06039.1*A', '06057.1*A', '06070.*A', '06147.1*A', '06089.*A', '05903.*A', '06811.*A', '06721.*A', '06948.51*A', '10509.*A', '10605.*A', '10512.*A', '10653.*A', '10665.*A', '10736.*A', '10746.2*A', '10824.*A', '10615.2*A', '10885.*A', '10899.*A', '10938.*A', '11098.*A', '11098.2*A', '11816.6*A', '11884.*A', '12160.1*A', '17285.*A', '17337.2*A', '12693.*A', '12748.*A', '12794.*A', '12960.*A', '12817.*A', '22603.*A', '22817.*A', '27166.*A', '27465.*A', '27356.*A', '27373.*A', '27505.*A', '27518.*A', '27667.*A', '27759.*A']"
232,22817.*A,"['02517.*A', '02573.*A', '02588.*A', '02596.131*A', '02623.*A', '02631.*A', '02765.*A', '05829.*A', '05839.5*A', '06039.1*A', '06057.1*A', '06147.1*A', '06089.*A', '05903.*A', '06948.51*A', '10509.*A', '10605.*A', '10512.*A', '10665.*A', '10736.*A', '10746.2*A', '10824.*A', '10615.2*A', '10885.*A', '10899.*A', '10938.*A', '11098.2*A', '17285.*A', '17337.2*A', '12693.*A', '12748.*A', '12794.*A', '12960.*A', '12817.*A', '22603.*A', '22675.1*A', '25324.*A', '27465.*A', '27759.*A']"
233,23055.*A,"['00128.*A', '00146.*A', '00164.*A', '00438.*A', '00498.*A', '00987.*A', '01132.*A', '01165.*A', '01176.*A', '03251.*A', '03250.1*A', '03642.*A', '03728.*A', '03641.*A', '03643.*A', '03760.*A', '03639.*A', '03805.*A', '03992.*A', '06070.*A', '04427.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '04870.*A', '04503.*A', '05388.11*A', '05375.*A', '05281.*A', '05738.*A', '06811.*A', '07055.*A', '07425.*A', '07675.*A', '07796.*A', '09524.*A', '10228.*A', '09725.*A', '09657.*A', '09847.*A', '09977.*A', '10382.2*A', '11884.*A', '12077.*A', '12151.01*A', '12160.1*A', '11444.*A', '11270.*A', '17205.1*A', '17220.*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '19199.2*A', '19253.1*A', '19289.2*A', '20480.2*A', '20126.*A', '21252.*A', '22209.*A', '22309.*A', '22210.*A', '22899.*A', '23097.*A', '23121.*A', '22905.*A', '25863.*A', '25986.*A', '27168.1*A', '26627.*A', '26768.*A']"
234,22899.*A,"['00128.*A', '00146.*A', '00164.*A', '00438.*A', '00498.*A', '01132.*A', '01165.*A', '03135.*A', '03423.3*A', '03251.*A', '03250.1*A', '03642.*A', '03728.*A', '03641.*A', '03643.*A', '03760.*A', '03639.*A', '03805.*A', '03992.*A', '04427.*A', '04444.*A', '04507.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '05388.11*A', '05375.*A', '05281.*A', '05738.*A', '07055.*A', '07425.*A', '07675.*A', '07796.*A', '12077.*A', '12151.01*A', '11444.*A', '11270.*A', '17205.1*A', '16761.*A', '17220.*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '20126.*A', '21252.*A', '22209.*A', '22309.*A', '22210.*A', '23055.*A', '23097.*A', '23121.*A', '22905.*A', '25863.*A', '25977.*A', '25986.*A', '26627.*A', '26768.*A']"
235,23097.*A,"['00128.*A', '00146.*A', '00164.*A', '00438.*A', '00498.*A', '00987.*A', '01132.*A', '01165.*A', '01176.*A', '03642.*A', '03728.*A', '03641.*A', '03643.*A', '03760.*A', '03639.*A', '03805.*A', '06022.11*A', '06070.*A', '06089.*A', '05903.*A', '04427.*A', '04444.*A', '04507.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '04870.*A', '05388.11*A', '05375.*A', '05281.*A', '05738.*A', '06811.*A', '06721.*A', '07055.*A', '07425.*A', '07589.*A', '07675.*A', '07796.*A', '11816.6*A', '11884.*A', '12077.*A', '12151.01*A', '12160.1*A', '11444.*A', '11270.*A', '18603.*A', '18609.*A', '18771.*A', '18855.*A', '18876.11*A', '18978.32*A', '18989.*A', '19080.*A', '19143.*A', '19166.*A', '19199.2*A', '19253.1*A', '19307.2*A', '19283.*A', '19122.*A', '19289.2*A', '19295.11*A', '19136.*A', '22309.*A', '23055.*A', '22899.*A', '23121.*A', '22905.*A', '24072.1*A', '23713.*A', '23895.11*A', '23965.1*A', '23454.*A', '23710.38*A', '24976.*A']"
236,23121.*A,"['00128.*A', '00146.*A', '00164.*A', '00438.*A', '00498.*A', '00987.*A', '01132.*A', '01165.*A', '01176.*A', '03251.*A', '03250.1*A', '03642.*A', '03728.*A', '03641.*A', '03643.*A', '03760.*A', '03639.*A', '03805.*A', '03992.*A', '06070.*A', '04427.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '04870.*A', '04503.*A', '05388.11*A', '05375.*A', '05281.*A', '05738.*A', '06811.*A', '07055.*A', '07425.*A', '07675.*A', '07796.*A', '09524.*A', '10228.*A', '09725.*A', '09657.*A', '09847.*A', '09977.*A', '10382.2*A', '11816.6*A', '11884.*A', '12077.*A', '12151.01*A', '12160.1*A', '11444.*A', '11270.*A', '17205.1*A', '17220.*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '19199.2*A', '19253.1*A', '19289.2*A', '20480.2*A', '20126.*A', '21252.*A', '22209.*A', '22309.*A', '22210.*A', '23055.*A', '22899.*A', '23097.*A', '22905.*A', '25863.*A', '25986.*A', '27168.1*A', '26627.*A', '26768.*A']"
237,22905.*A,"['00128.*A', '00146.*A', '00164.*A', '00438.*A', '00498.*A', '00987.*A', '01132.*A', '01165.*A', '01176.*A', '03642.*A', '03728.*A', '03641.*A', '03643.*A', '03760.*A', '03639.*A', '03805.*A', '03992.*A', '05829.*A', '06022.11*A', '06070.*A', '06089.*A', '05903.*A', '04427.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '04870.*A', '04503.*A', '05388.11*A', '05375.*A', '05281.*A', '05738.*A', '06811.*A', '06721.*A', '07055.*A', '07425.*A', '07675.*A', '07796.*A', '09524.*A', '10228.*A', '09725.*A', '09657.*A', '09847.*A', '09977.*A', '10382.2*A', '11816.6*A', '11884.*A', '12077.*A', '12151.01*A', '12160.1*A', '11444.*A', '11270.*A', '17220.*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '19080.*A', '19143.*A', '19199.2*A', '19253.1*A', '19283.*A', '19289.2*A', '20480.2*A', '20126.*A', '21252.*A', '22209.*A', '22309.*A', '22210.*A', '23055.*A', '22899.*A', '23097.*A', '23121.*A', '25863.*A', '25986.*A', '27346.*A', '27168.1*A', '27505.*A', '27518.*A', '27682.*A', '26627.*A', '26768.*A']"
238,23307.*A,"['14532.*A', '14733.4*A', '18978.32*A', '19307.2*A', '19122.*A', '19295.11*A', '19136.*A', '23522.2*A', '24072.1*A', '23713.*A', '23895.11*A', '23965.1*A', '23454.*A', '24149.11*A', '24135.*A', '24194.*A', '23710.38*A', '24163.*A', '24067.61*A', '24889.*A', '24976.*A']"
239,23522.2*A,"['00987.*A', '01165.*A', '01176.*A', '07425.*A', '07589.*A', '07675.*A', '07796.*A', '14733.4*A', '18771.*A', '18855.*A', '18876.11*A', '18978.32*A', '18989.*A', '19080.*A', '19143.*A', '19166.*A', '19199.2*A', '19253.1*A', '19307.2*A', '19283.*A', '19122.*A', '19289.2*A', '19295.11*A', '19136.*A', '23307.*A', '24072.1*A', '23713.*A', '23895.11*A', '23965.1*A', '23454.*A', '24149.11*A', '24135.*A', '24194.*A', '23710.38*A', '24163.*A', '24067.61*A', '24889.*A', '24976.*A']"
240,24072.1*A,"['00438.*A', '00987.*A', '01132.*A', '01165.*A', '01176.*A', '07425.*A', '07589.*A', '07675.*A', '07796.*A', '11444.*A', '11270.*A', '18771.*A', '18855.*A', '18876.11*A', '18978.32*A', '18989.*A', '19080.*A', '19143.*A', '19166.*A', '19199.2*A', '19253.1*A', '19307.2*A', '19283.*A', '19122.*A', '19289.2*A', '19295.11*A', '19136.*A', '23097.*A', '23307.*A', '23522.2*A', '23713.*A', '23895.11*A', '23965.1*A', '23454.*A', '24149.11*A', '24135.*A', '24194.*A', '23710.38*A', '24163.*A', '24067.61*A', '24889.*A', '24976.*A']"
241,23713.*A,"['00987.*A', '01132.*A', '01165.*A', '01176.*A', '06811.*A', '06721.*A', '06948.51*A', '07425.*A', '07589.*A', '07675.*A', '07796.*A', '11816.6*A', '12151.01*A', '11444.*A', '11270.*A', '14733.4*A', '18771.*A', '18855.*A', '18876.11*A', '18978.32*A', '18989.*A', '19080.*A', '19143.*A', '19166.*A', '19199.2*A', '19253.1*A', '19307.2*A', '19283.*A', '19122.*A', '19289.2*A', '19295.11*A', '19136.*A', '23097.*A', '23307.*A', '23522.2*A', '24072.1*A', '23895.11*A', '23965.1*A', '23454.*A', '24149.11*A', '24135.*A', '24194.*A', '23710.38*A', '24163.*A', '24067.61*A', '24889.*A', '24976.*A']"
242,23895.11*A,"['00987.*A', '01132.*A', '01165.*A', '01176.*A', '06811.*A', '06721.*A', '06948.51*A', '07425.*A', '07589.*A', '07675.*A', '07796.*A', '11816.6*A', '11444.*A', '11270.*A', '14733.4*A', '18771.*A', '18855.*A', '18876.11*A', '18978.32*A', '18989.*A', '19080.*A', '19143.*A', '19166.*A', '19199.2*A', '19253.1*A', '19307.2*A', '19283.*A', '19122.*A', '19289.2*A', '19295.11*A', '19136.*A', '23097.*A', '23307.*A', '23522.2*A', '24072.1*A', '23713.*A', '23965.1*A', '23454.*A', '24149.11*A', '24135.*A', '24194.*A', '23710.38*A', '24163.*A', '24067.61*A', '24889.*A', '24976.*A']"
243,23965.1*A,"['00987.*A', '01132.*A', '01165.*A', '01176.*A', '06811.*A', '06721.*A', '06948.51*A', '07425.*A', '07589.*A', '07675.*A', '07796.*A', '14733.4*A', '18771.*A', '18855.*A', '18876.11*A', '18978.32*A', '18989.*A', '19080.*A', '19143.*A', '19166.*A', '19199.2*A', '19253.1*A', '19307.2*A', '19283.*A', '19122.*A', '19289.2*A', '19295.11*A', '19136.*A', '23097.*A', '23307.*A', '23522.2*A', '24072.1*A', '23713.*A', '23895.11*A', '23454.*A', '24149.11*A', '24135.*A', '24194.*A', '23710.38*A', '24163.*A', '24067.61*A', '24889.*A', '24976.*A']"
244,23454.*A,"['00987.*A', '01132.*A', '01165.*A', '01176.*A', '05903.*A', '06811.*A', '06721.*A', '06948.51*A', '07425.*A', '07589.*A', '07675.*A', '07796.*A', '11816.6*A', '11884.*A', '12077.*A', '12151.01*A', '12160.1*A', '11444.*A', '11270.*A', '14733.4*A', '18771.*A', '18855.*A', '18876.11*A', '18978.32*A', '18989.*A', '19080.*A', '19143.*A', '19166.*A', '19199.2*A', '19253.1*A', '19307.2*A', '19283.*A', '19122.*A', '19289.2*A', '19295.11*A', '19136.*A', '23097.*A', '23307.*A', '23522.2*A', '24072.1*A', '23713.*A', '23895.11*A', '23965.1*A', '24149.11*A', '24135.*A', '24194.*A', '23710.38*A', '24163.*A', '24067.61*A', '24889.*A', '24976.*A']"
